-100 -99 7
-99 -98 8
-98 -97 11
-97 -96 10
-96 -95 4
-95 -94 6
-94 -93 11
-93 -92 13
-92 -91 11
-91 -90 15
-90 -89 13
-89 -88 13
-88 -87 12
-87 -86 11
-86 -85 10
-85 -84 15
-84 -83 11
-83 -82 7
-82 -81 14
-81 -80 9
-80 -79 9
-79 -78 13
-78 -77 12
-77 -76 12
-76 -75 17
-75 -74 19
-74 -73 8
-73 -72 14
-72 -71 26
-71 -70 14
-70 -69 21
-69 -68 12
-68 -67 11
-67 -66 23
-66 -65 19
-65 -64 25
-64 -63 19
-63 -62 11
-62 -61 27
-61 -60 16
-60 -59 30
-59 -58 33
-58 -57 22
-57 -56 22
-56 -55 20
-55 -54 22
-54 -53 24
-53 -52 40
-52 -51 24
-51 -50 38
-50 -49 31
-49 -48 33
-48 -47 34
-47 -46 37
-46 -45 33
-45 -44 30
-44 -43 27
-43 -42 33
-42 -41 38
-41 -40 36
-40 -39 32
-39 -38 35
-38 -37 50
-37 -36 30
-36 -35 37
-35 -34 47
-34 -33 34
-33 -32 46
-32 -31 55
-31 -30 48
-30 -29 54
-29 -28 62
-28 -27 46
-27 -26 66
-26 -25 62
-25 -24 70
-24 -23 51
-23 -22 64
-22 -21 59
-21 -20 80
-20 -19 68
-19 -18 74
-18 -17 90
-17 -16 63
-16 -15 93
-15 -14 82
-14 -13 89
-13 -12 104
-12 -11 85
-11 -10 89
-10 -9 91
-9 -8 91
-8 -7 100
-7 -6 110
-6 -5 110
-5 -4 103
-4 -3 122
-3 -2 102
-2 -1 105
-1 0 121
0 1 101
1 2 112
2 3 114
3 4 91
4 5 95
5 6 112
6 7 94
7 8 91
8 9 90
9 10 90
10 11 101
11 12 79
12 13 112
13 14 94
14 15 91
15 16 72
16 17 75
17 18 78
18 19 87
19 20 72
20 21 85
21 22 68
22 23 63
23 24 70
24 25 61
25 26 43
26 27 65
27 28 50
28 29 71
29 30 47
30 31 32
31 32 43
32 33 51
33 34 51
34 35 42
35 36 46
36 37 37
37 38 43
38 39 37
39 40 39
40 41 37
41 42 29
42 43 45
43 44 41
44 45 28
45 46 33
46 47 32
47 48 25
48 49 32
49 50 21
50 51 28
51 52 26
52 53 30
53 54 25
54 55 35
55 56 25
56 57 26
57 58 24
58 59 23
59 60 26
60 61 26
61 62 21
62 63 19
63 64 19
64 65 14
65 66 20
66 67 19
67 68 20
68 69 18
69 70 17
70 71 18
71 72 18
72 73 11
73 74 12
74 75 14
75 76 16
76 77 20
77 78 12
78 79 13
79 80 8
80 81 11
81 82 16
82 83 12
83 84 13
84 85 13
85 86 11
86 87 5
87 88 7
88 89 15
89 90 11
90 91 15
91 92 13
92 93 12
93 94 16
94 95 12
95 96 8
96 97 9
97 98 10
98 99 13
99 100 7
